id,currently_anchored,did_accept_challenge,question_object_id,island_id,participant_id,question_content_type_id,treasure_id,last_anchored_at,challenge_accepted_at,did_open_treasure,did_reach,reached_at,treasure_opened_at,currently_in,is_treasure_visible,did_spade,spaded_at
62,f,f,124,27,228,15,13,,,f,f,,,f,f,f,
8645,f,f,20,35,306,14,20,,,f,f,,,f,f,f,
63,f,f,125,28,228,15,20,,,f,f,,,f,f,f,
64,f,f,130,29,228,15,10,,,f,f,,,f,f,f,
55,f,f,,20,228,,,,,f,t,2020-03-28 08:36:56.841115+00,,f,f,f,
66,f,f,140,31,228,15,16,,,f,f,,,f,f,f,
67,f,f,26,32,228,14,11,,,f,f,,,f,f,f,
80,f,t,37,10,253,15,27,2020-03-28 07:56:44.899388+00,2020-03-28 07:59:15.397909+00,t,t,2020-03-28 07:38:58.275491+00,2020-03-28 08:57:28.64223+00,f,t,f,
68,f,f,148,33,228,15,26,,,f,f,,,f,f,f,
69,f,f,153,34,228,15,6,,,f,f,,,f,f,f,
78,f,f,3,8,253,14,12,2020-03-28 10:43:25.667482+00,,t,t,2020-03-28 10:43:19.744794+00,2020-03-28 10:43:32.569433+00,f,t,f,
70,f,f,18,35,228,14,29,,,f,f,,,f,f,f,
75,f,f,30,5,253,15,22,,,f,f,,,f,f,f,
76,f,f,32,6,253,15,6,,,f,f,,,f,f,f,
82,f,t,48,12,253,15,31,2020-03-28 08:58:34.26074+00,2020-03-28 08:58:42.150206+00,t,t,2020-03-28 08:57:55.334409+00,2020-03-28 09:19:18.432288+00,f,t,f,
84,f,f,57,14,253,15,28,,,f,f,,,f,f,f,
85,f,f,68,15,253,15,34,,,f,f,,,f,f,f,
83,f,t,54,13,253,15,15,2020-03-28 10:01:11.016683+00,2020-03-28 10:01:30.443362+00,t,t,2020-03-28 10:00:40.243612+00,2020-03-28 10:01:20.060069+00,f,t,f,
86,t,f,71,16,253,15,20,2020-03-28 10:48:10.872669+00,,f,t,2020-03-28 10:48:03.089152+00,,t,t,f,
87,f,f,75,17,253,15,7,,,f,f,,,f,f,f,
88,f,f,80,18,253,15,10,,,f,f,,,f,f,f,
89,f,f,86,19,253,15,33,,,f,f,,,f,f,f,
90,f,f,,20,253,,,,,f,f,,,f,f,f,
91,f,f,92,21,253,15,32,,,f,f,,,f,f,f,
92,f,f,96,22,253,15,19,,,f,f,,,f,f,f,
93,f,f,101,23,253,15,13,,,f,f,,,f,f,f,
94,f,f,108,24,253,15,1,,,f,f,,,f,f,f,
